APP	工具	分类	ID	工具描述	图像	按钮	风格	分类
app84	Area plot	huitugongju	box_huitugongju44	Area plot	app84.png	box_huitugongju44_button2	danger4	
app85	Radar Plot	huitugongju	box_huitugongju45	Radar Plot	app85.png	box_huitugongju45_button2	danger4	
app86	3D scatter plot	huitugongju	box_huitugongju46	3D scatter plot	app86.png	box_huitugongju46_button2	danger4	
app87	Air bubble diagram	huitugongju	box_huitugongju47	Air bubble diagram	app87.png	box_huitugongju47_button2	danger4	transcriptome19,genome14,proteome14
app88	Cumulative Distribution Curve	huitugongju	box_huitugongju48	Cumulative Distribution Curve	app88.png	box_huitugongju48_button2	danger4	
app91	Waterfall	huitugongju	box_huitugongju49	Waterfall	app91.png	box_huitugongju49_button2	danger4	genome25
app15	Cluster Maps	huitugongju	box_huitugongju5	Cluster Maps	app15.png	box_huitugongju5_button2	danger4	
app92	Ms2Plot	huitugongju	box_huitugongju50	Ms2Plot	app92.png	box_huitugongju50_button2	danger4	
app96	IQTREE	huitugongju	box_huitugongju51	IQTREE	app96.png	box_huitugongju51_button2	danger4	genome26
app19	Base Distribution Map	huitugongju	box_huitugongju6	Base Distribution Map	app19.png	box_huitugongju6_button2	danger4	
app34	Bar graphs	huitugongju	box_huitugongju7	Bar graphs	app34.png	box_huitugongju7_button2	danger4	
app35	Folding line chart	huitugongju	box_huitugongju8	Folding line chart	app35.png	box_huitugongju8_button2	danger4	transcriptome20
app7	Statistical GC content	tongjijianyan	box_tongjijianyan1	Statistical GC content	app7.png	box_tongjijianyan1_button2	danger7	genome27
app8	Statistical sequence length	tongjijianyan	box_tongjijianyan2	Statistical sequence length	app8.png	box_tongjijianyan2_button2	danger7	genome28
app13	Statistical N-value	tongjijianyan	box_tongjijianyan3	Statistical N-value	app13.png	box_tongjijianyan3_button2	danger7	genome29
app18	Statistical FASTQ file	tongjijianyan	box_tongjijianyan4	Statistical FASTQ file	app18.png	box_tongjijianyan4_button2	danger7	genome30
app68	DEseq2	tongjijianyan	box_tongjijianyan5	DEseq2	app68.png	box_tongjijianyan5_button2	danger7	transcriptome21
app69	DEseq_no_replicate	tongjijianyan	box_tongjijianyan6	DEseq_no_replicate	app69.png	box_tongjijianyan6_button2	danger7	transcriptome22
app70	DEseq	tongjijianyan	box_tongjijianyan7	DEseq	app70.png	box_tongjijianyan7_button2	danger7	transcriptome23
app75	MetNorm	tongjijianyan	box_tongjijianyan8	MetNorm	app75.png	box_tongjijianyan8_button2	danger7	
app76	MetCleaning	tongjijianyan	box_tongjijianyan9	MetCleaning	app76.png	box_tongjijianyan9_button2	danger7	
app3	Sequence one row	xuliechuli	box_xuliechuli1	Sequence one row	app3.png	box_xuliechuli1_button2	danger6	genome31
app26	Longest Transcript	xuliechuli	box_xuliechuli10	Longest Transcript	app26.png	box_xuliechuli10_button2	danger6	transcriptome24
app77	MUSCLE	xuliechuli	box_xuliechuli11	MUSCLE	app77.png	box_xuliechuli11_button2	danger6	genome32,proteome16
app78	DNA&RNA 	xuliechuli	box_xuliechuli12	DNA&RNA 	app78.png	box_xuliechuli12_button2	danger6	genome33
app95	Blast	xuliechuli	box_xuliechuli13	Blast	app95.png	box_xuliechuli13_button2	danger6	transcriptome25,genome15,proteome15
app10	Sequence formatting	xuliechuli	box_xuliechuli2	Sequence formatting	app10.png	box_xuliechuli2_button2	danger6	genome34
app11	CDS to protein	xuliechuli	box_xuliechuli3	CDS to protein	app11.png	box_xuliechuli3_button2	danger6	genome35
app12	Sequence length filter	xuliechuli	box_xuliechuli4	Sequence length filter	app12.png	box_xuliechuli4_button2	danger6	transcriptome26,genome16
app14	Sequence interception	xuliechuli	box_xuliechuli5	Sequence interception	app14.png	box_xuliechuli5_button2	danger6	genome36
app17	Sequence reverse complementarity	xuliechuli	box_xuliechuli6	Sequence reverse complementarity	app17.png	box_xuliechuli6_button2	danger6	transcriptome27
app20	FASTQ QC (single-end)	xuliechuli	box_xuliechuli7	FASTQ QC (single-end)	app20.png	box_xuliechuli7_button2	danger6	genome37
app21	FASTQ QC (pair-end)	xuliechuli	box_xuliechuli8	FASTQ QC (pair-end)	app21.png	box_xuliechuli8_button2	danger6	genome38
app25	Sequence name simple	xuliechuli	box_xuliechuli9	Sequence name simple	app25.png	box_xuliechuli9_button2	danger6	genome39
